Material,Conductividad térmica (W/m·K),Densidad (kg/m³),Calor específico (J/kg·K)
Aluminio Puro,237,2702,903
Aleación 2024-T6,177,2770,875
Aleación 195 fundido (4.5% Cu),168,2790,883
Berilio,200,1850,1825
Bismuto,7.86,9780,122
Boro,27.0,2500,1107
Cadmio,96.8,8650,231
Cromo,93.7,7160,449
Cobalto,99.2,8862,421
Cobre Puro,401,8933,385
Bronce comercial,52,8800,420
Bronce al fósforo para engranes,54,8780,355
Latón para cartuchos,110,8530,380
Constantán,23,8920,384
Germanio,59.9,5360,322
Oro,317,19300,129
Iridio,147,22500,130
Hierro Puro,80.2,7870,447
Armeo,72.7,7870,447
Acero al carbono simple,60.5,7854,434
Acero AISI 1010,63.9,7832,434
Acero al carbono-silicio,51.9,7817,446
Acero al carbono-manganeso-silicio,41.0,8131,434
Acero al cromo (bajo),37.7,7822,444
Acero inoxidable AISI 302,15.1,8055,480
Acero inoxidable AISI 304,14.9,7900,477
Acero inoxidable AISI 316,13.4,8238,468
Acero inoxidable AISI 347,14.2,7978,480
Plomo,35.3,11340,129
Magnesio,156,1740,1024
Molibdeno,138,10240,251
Níquel Puro,90.7,8900,444
Nicromo,12,8400,420
Inconel X-750,11.7,8510,439
Niobio,53.7,8570,265
Paladio,71.8,12020,244
Platino Puro,71.6,21450,133
Aleación 60Pt-40Rh,47,16630,162
Renio,47.9,21100,136
Rodio,150,12450,243
Silicio,148,2330,712
Plata,429,10500,235
Tantalio,57.5,16600,140
Torio,54.0,11700,118
Estaño,66.6,7310,227
Titanio,21.9,4500,522
Tungsteno,174,19300,132
Uranio,27.6,19070,116
Vanadio,30.7,6100,489
Zinc,116,7140,389
Zirconio,22.7,6570,278